,1,2,27,4,15,5,16,7,26,17,8,9,3,6,10,11,12,13,14,19,20,21,22,24,18,25,23,0,ST,P,B,VS,VD,VD’,ID,BL,S’,S,AS,RS,WS,IF,ES,W,E,AE,T,F,BE
0,s2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , 
1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , , , , , , , , , , , , , , , , , , , , 
2, ,s3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, , , ,s6, , , ,r3, , , , , , , , , , , , , , , , , , , , , , ,4,5, , , , , , , , , , , , , , , , , 
4, , ,s7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , , , , , , 
6, ,s11, , , , ,r5,r5, , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , , , , , , 
7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r1, , , , , , , , , , , , , , , , , , , , , 
8, , ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9, ,s21, , , , , ,s9, , ,s19,s20, , ,s22, , ,s23, , , , , , , , , , , , , , , , , ,18, ,12,15,13,14,16, ,17, , , , , 
10, , , , , , ,s25,r7, , , , , , , , , , , , , , , , , , , , , , , , , ,24, , , , , , , , , , , , , , , 
11, ,s27, , ,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26, , , , , , , , , , , , , , 
12, , , , , , ,s29, ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , ,28, , , , , , , , , , , , 
13, , ,r14, , , ,r14, ,r14, , , , , , , ,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14, , ,r15, , , ,r15, ,r15, , , , , , , ,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15, , ,r16, , , ,r16, ,r16, , , , , , , ,r16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
